dataset,filename,relative_path,gender,celeb_name,celeb_id,photo_taken,dob,status,error_message,area_face,area_nose,area_mouth,area_l_eye,area_r_eye,area_hair,face_area,nose_area,mouth_area,l_eye_area,r_eye_area,hair_area,face_score,nose_score,mouth_score,l_eye_score,r_eye_score,hair_score,face_vs_nose,face_vs_mouth,face_vs_l_eye,face_vs_r_eye,face_vs_hair,nose_vs_face,nose_vs_mouth,nose_vs_l_eye,nose_vs_r_eye,nose_vs_hair,mouth_vs_face,mouth_vs_nose,mouth_vs_l_eye,mouth_vs_r_eye,mouth_vs_hair,l_eye_vs_face,l_eye_vs_nose,l_eye_vs_mouth,l_eye_vs_r_eye,l_eye_vs_hair,r_eye_vs_face,r_eye_vs_nose,r_eye_vs_mouth,r_eye_vs_l_eye,r_eye_vs_hair,hair_vs_face,hair_vs_nose,hair_vs_mouth,hair_vs_l_eye,hair_vs_r_eye,eyes_total_area,eyes_total_vs_face,eye_asymmetry,segmentation_warnings,metadata_face_score,metadata_second_face_score,image_path
imdb,nm0628601_rm1374657280_1972-11-6_2006.jpg,01/nm0628601_rm1374657280_1972-11-6_2006.jpg,Female,Thandie Newton,18795,2006,720569.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3703050845668896,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/01/nm0628601_rm1374657280_1972-11-6_2006.jpg
imdb,nm0000603_rm3627325440_1937-1-30_2007.jpg,03/nm0000603_rm3627325440_1937-1-30_2007.jpg,Female,Vanessa Redgrave,19568,2007,707505.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2727844546555205,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/03/nm0000603_rm3627325440_1937-1-30_2007.jpg
imdb,nm0278304_rm1374665472_1979-8-22_2010.jpg,04/nm0278304_rm1374665472_1979-8-22_2010.jpg,Female,Jennifer Finnigan,8832,2010,723049.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.184716991930292,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/04/nm0278304_rm1374665472_1979-8-22_2010.jpg
imdb,nm0000505_rm243243776_1970-10-30_2000.jpg,05/nm0000505_rm243243776_1970-10-30_2000.jpg,Female,Nia Long,14446,2000,719831.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6630172176137026,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0000505_rm243243776_1970-10-30_2000.jpg
imdb,nm0000705_rm2457573888_1966-4-8_1998.jpg,05/nm0000705_rm2457573888_1966-4-8_1998.jpg,Female,Robin Wright,16528,1998,718165.0,invalid,ValueError: mouth: nenhuma máscara retornada pelo SAM 3; eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4790876240347435,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0000705_rm2457573888_1966-4-8_1998.jpg
imdb,nm0005105_rm1890034176_1968-10-11_2006.jpg,05/nm0005105_rm1890034176_1968-10-11_2006.jpg,Female,Jane Krakowski,8408,2006,719082.0,invalid,ValueError: mouth: nenhuma máscara retornada pelo SAM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5744050615040184,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0005105_rm1890034176_1968-10-11_2006.jpg
imdb,nm0005305_rm2487075584_1976-10-31_2010.jpg,05/nm0005305_rm2487075584_1976-10-31_2010.jpg,Female,Piper Perabo,15571,2010,722024.0,invalid,ValueError: mouth: nenhuma máscara retornada pelo SAM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5203454341062157,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0005305_rm2487075584_1976-10-31_2010.jpg
imdb,nm0192505_rm2373881344_1985-11-30_2007.jpg,05/nm0192505_rm2373881344_1985-11-30_2007.jpg,Female,Kaley Cuoco,10438,2007,725341.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1877162018640768,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0192505_rm2373881344_1985-11-30_2007.jpg
imdb,nm0192505_rm2540822272_1985-11-30_2007.jpg,05/nm0192505_rm2540822272_1985-11-30_2007.jpg,Female,Kaley Cuoco,10438,2007,725341.0,invalid,ValueError: eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.359866241134583,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0192505_rm2540822272_1985-11-30_2007.jpg
imdb,nm0442905_rm2999756544_1969-5-30_2013.jpg,05/nm0442905_rm2999756544_1969-5-30_2013.jpg,Female,Naomi Kawase,14253,2013,719313.0,invalid,ValueError: mouth: nenhuma máscara retornada pelo SAM 3; eyes: não foi possível encontrar duas máscaras distintas de olhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5174794654346637,,/workspace/datasets/imdb_wiki/extracted/imdb_crop/05/nm0442905_rm2999756544_1969-5-30_2013.jpg
